Label,Deposit,SiO2,TiO2,Al2O3,TFe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U
Cu-rich PCDs,Quellaveco Cu-Mo,66.96,0.28,15.92,3.03,0.11,1.29,1.47,2.98,5.04,0.11,109.2,383.2,5.2,85.2,3.2,900,14.6,29.2,3.26,11.8,2.14,0.54,1.52,0.19,1.09,0.2,0.56,0.07,0.57,0.09,2.5,0.2,3,0.8
Cu-rich PCDs,Quellaveco Cu-Mo,67.62,0.29,15.98,3.21,0.11,1.01,2.3,3.62,3.78,0.12,76.7,470,6.2,113.8,3.7,857,19.4,38.7,4.2,14.9,2.41,0.67,1.75,0.22,1.18,0.22,0.62,0.09,0.59,0.1,3.1,0.3,3.4,1.1
Cu-rich PCDs,Aktogai Cu,69.22,0.47,15.48,0.94,0.02,1.12,0.96,3.4,5.53,0.22,83.9,451,9.74,52,3.46,1168,25.1,44.5,5.55,21.4,3.52,1.05,2.6,0.39,1.77,0.33,0.97,0.16,1.06,0.15,2,0.22,5.78,3.75
Cu-rich PCDs,Aktogai Cu,64.04,0.55,17.04,4.6,0.03,1.53,3.2,4.37,2.18,0.22,54.2,1036,8.95,66.2,3.25,918,16.6,33.2,4.22,16.6,2.84,0.82,2.03,0.33,1.57,0.3,0.86,0.15,0.95,0.15,2.42,0.23,5.1,1.45
Cu-rich PCDs,Aktogai Cu,66.74,0.53,16.15,2.04,0.03,1.86,1.42,3.95,4.16,0.21,58.3,453,5.77,31.4,2.3,640,10.1,19,2.35,9.43,1.73,0.54,1.21,0.18,0.96,0.17,0.54,0.09,0.64,0.1,1.36,0.14,5.69,0.51
Cu-rich PCDs,Aktogai Cu,74,0.34,13.62,1.62,0.02,1.33,0.39,3.33,2.39,0.11,71.4,625,10.3,58.7,2.74,919,17.6,32.6,3.68,19,3.53,0.79,2,0.32,1.55,0.3,0.98,0.15,1.05,0.15,2.48,0.21,8.29,1.34
Cu-rich PCDs,Aktogai Cu,66.21,0.54,16.67,3.79,0.03,1.63,2.19,4.35,2.79,0.23,66.25,896.6,11.3,114,3.66,837.7,19.52,38.01,5.13,19.05,3.65,0.95,2.8,0.39,2.09,0.4,1.06,0.16,1,0.15,3.35,0.23,5.23,2.44
Cu-rich PCDs,Aktogai Cu,65.07,0.57,16.51,4.24,0.02,1.58,2.91,4.38,2.86,0.24,62.28,922.9,8.25,101.9,3.82,876.2,21.16,41.32,5.47,20.13,3.62,0.87,2.51,0.31,1.55,0.29,0.75,0.11,0.71,0.11,3.09,0.22,4.99,3.45
Cu-rich PCDs,Aktogai Cu,69.01,0.43,15.54,1.86,0.02,1.5,1.42,4.21,3.96,0.18,72.01,718.5,9.77,112.3,3.91,1002.8,18.74,36.13,4.45,16.55,2.91,0.78,2.4,0.33,1.75,0.34,0.93,0.14,0.94,0.15,3.58,0.27,7.25,1.59
Cu-rich PCDs,Aktogai Cu,68.89,0.44,15.81,1.68,0.02,1.21,1.64,3.88,4.44,0.17,80.17,520.7,9.35,122.3,4.21,1074.3,22.51,42.69,5.07,18.56,3.33,0.84,2.37,0.32,1.75,0.33,0.92,0.14,0.92,0.14,3.69,0.31,7.31,1.15
Cu-rich PCDs,Aktogai Cu,68.67,0.41,15.96,1.73,0.02,1.25,1.4,3.85,4.84,0.18,93.31,575.6,7.98,106.4,3.83,1075.8,17.14,33.67,4.23,15.78,2.75,0.68,2.1,0.27,1.45,0.29,0.79,0.12,0.78,0.12,3.26,0.28,7.02,2.83
Cu-rich PCDs,Tuwu-Yandong Cu,75.01,0.23,13.19,1.36,0.02,0.82,1.45,5.76,0.67,0.1,35.25,507,4.71,33.3,1.8,356,5.79,11.6,1.46,6.1,1.11,0.51,0.99,0.15,0.86,0.18,0.41,0.09,0.73,0.08,1.1,0.15,0.68,0.15
Cu-rich PCDs,Tuwu-Yandong Cu,68.72,0.27,16.25,1.78,0.03,0.46,3.38,3.71,1.8,0.14,28.8,397,7.2,55.2,2.38,395,10.1,19.7,2.48,9.63,1.69,0.73,1.46,0.23,1.08,0.26,0.67,0.12,0.82,0.13,1.66,0.2,1.19,0.48
Cu-rich PCDs,Tuwu-Yandong Cu,68.73,0.25,14.84,2.16,0.04,0.64,4.06,4.25,1.38,0.12,25,462,8.47,49.3,2.58,245,12.9,25.8,3.14,11.2,2.17,0.72,1.89,0.26,1.43,0.29,0.81,0.14,0.94,0.16,1.74,0.25,1.38,0.58
Cu-rich PCDs,Tuwu-Yandong Cu,67.45,0.23,14.22,2.57,0.07,1.14,4.34,4.97,1.22,0.1,23.5,586,9.45,46.3,2.26,271,13.7,27.6,2.88,11.7,2.38,0.89,1.82,0.3,1.49,0.28,0.86,0.14,1.06,0.14,1.3,0.22,1.53,0.39
Cu-rich PCDs,Tuwu-Yandong Cu,68.21,0.29,15.68,3.35,0.04,1.2,2.47,4.65,1.28,0.13,27.3,509,8,38.1,2.25,281,11.1,22.2,2.73,10.9,2.07,0.67,1.68,0.27,1.49,0.28,0.88,0.13,0.87,0.12,1.3,0.2,1.26,1.04
Cu-rich PCDs,Tuwu-Yandong Cu,67.97,0.31,15.64,3.85,0.03,1.3,1.74,3.4,2.4,0.14,56.3,261,7.51,43,2.49,433,10.9,22.5,2.42,11.2,1.95,0.62,1.55,0.26,1.43,0.27,0.87,0.14,0.84,0.13,1.5,0.22,1.59,0.92
Cu-rich PCDs,Tuwu-Yandong Cu,65.34,0.36,16.13,5.05,0.04,1.68,2.22,2.98,2.09,0.15,49.1,566,9.53,53.6,2.41,461,14.8,29.3,3.73,15.3,2.71,0.88,2.23,0.35,1.96,0.36,1.1,0.16,1.15,0.18,1.82,0.2,1.44,0.97
Cu-rich PCDs,Tuwu-Yandong Cu,66.74,0.31,15.53,4.71,0.04,1.38,2.31,3.64,1.61,0.15,32.5,608,8.08,43.6,2.33,339,13.4,26.5,3.35,13.6,2.47,0.67,1.98,0.31,1.63,0.29,0.9,0.14,0.88,0.13,1.51,0.19,1.45,0.81
Cu-rich PCDs,Tuwu-Yandong Cu,66.89,0.31,15.7,4.61,0.05,1.29,2.53,3.15,1.85,0.14,39.5,669,8.18,41.5,2.18,426,10.7,21.6,2.7,11.6,2.15,0.74,1.88,0.31,1.71,0.31,0.95,0.14,0.93,0.14,1.52,0.19,1.39,0.71
Cu-rich PCDs,Tuwu-Yandong Cu,68.84,0.25,15.76,2.08,0.04,1.11,2.59,4.27,2.18,0.1,32.27,479,7.35,57.1,2.68,415,9.3,19.1,2.29,9,1.66,0.71,1.44,0.2,1.31,0.21,0.69,0.16,0.82,0.13,1.61,0.27,1.52,0.68
Cu-rich PCDs,Tuwu-Yandong Cu,68.84,0.25,15.76,2.21,0.04,1.11,2.59,4.27,2.18,0.1,36.7,429,7.35,57.1,2.68,466,9.3,19.1,2.29,9,1.66,0.71,1.44,0.2,1.31,0.21,0.69,0.16,0.82,0.13,1.61,0.27,1.52,0.68
Cu-rich PCDs,Tuwu-Yandong Cu,71.5,0.19,14.65,0.86,0.05,0.5,3,4.4,1.44,0.08,27.3,264,6.54,28.4,2.63,315,12,23.3,2.93,10.4,1.58,0.51,1.46,0.2,1.1,0.22,0.64,0.11,0.73,0.12,1.15,0.33,1.24,1.41
Cu-rich PCDs,Tuwu-Yandong Cu,69.75,0.18,15.5,2.29,0.04,0.58,3.06,4.04,1.6,0.12,25.6,661,5.8,39.4,2.6,487,10.7,21,2.64,10.1,1.42,0.78,1.19,0.21,1.2,0.19,0.59,0.12,0.64,0.09,1.26,0.25,1.12,0.77
Cu-rich PCDs,Tuwu-Yandong Cu,68.86,0.2,15.22,0.96,0.03,0.85,2.49,6.21,1.19,0.09,24,584,6,28.6,1.7,280,10.4,20.5,2.39,8.3,1.51,0.5,1.26,0.18,1,0.2,0.54,0.08,0.56,0.09,0.7,0.12,1.1,0.6
Cu-rich PCDs,Tuwu-Yandong Cu,65.75,0.29,14.57,2.99,0.19,1.57,3.67,4.3,1.4,0.11,28.2,549,7.5,43.9,2.7,400,9,19.8,2.48,9.3,1.86,0.58,1.67,0.23,1.34,0.26,0.71,0.1,0.71,0.11,1.3,0.23,1.4,1.3
Cu-rich PCDs,Tuwu-Yandong Cu,69,0.3,15.48,3.14,0.07,1.36,0.93,4.58,1.97,0.12,38.8,285,6.8,83.7,2.71,423,8.35,18.3,2.36,9.47,1.86,0.46,1.55,0.23,1.39,0.25,0.76,0.13,0.77,0.13,2.22,0.43,1.39,0.59
Cu-rich PCDs,Tuwu-Yandong Cu,74.4,0.18,12.57,1.97,0.03,0.84,3.41,0.4,3.1,0.11,45.3,582,3.68,29.6,3.25,536,10.4,20,2.34,8.6,1.48,0.43,1,0.14,0.78,0.14,0.38,0.06,0.44,0.07,0.94,0.23,1.06,0.4
Cu-rich PCDs,Wunugetushan Cu-Mo,71.57,0.24,14.82,1.8,0.02,0.25,0.92,4.43,3.93,0.09,114,43.7,3.92,135,4.98,760,16.1,30.2,3.46,11.6,1.85,0.46,1.23,0.15,0.62,0.11,0.31,0.05,0.39,0.07,3.85,0.31,2.27,0.8
Cu-rich PCDs,Wunugetushan Cu-Mo,70.31,0.22,14.82,2.02,0.03,0.31,1.06,4.85,4.06,0.08,157,46.9,3.6,132,4.99,720,16.6,30.6,3.47,11.4,1.87,0.43,1.23,0.14,0.61,0.11,0.3,0.05,0.39,0.07,3.85,0.31,3.12,1.22
Cu-rich PCDs,Wunugetushan Cu-Mo,70.92,0.18,14.83,1.83,0.03,0.34,1.55,4.26,3.7,0.05,102,26.8,5.75,101,5.55,770,16.4,33.9,4.23,15.5,2.82,0.62,1.85,0.23,1.04,0.17,0.47,0.07,0.51,0.08,3.28,0.38,2.43,1.34
Cu-rich PCDs,Wunugetushan Cu-Mo,69.2,0.37,16.05,2.4,0.01,0.1,1.29,4.5,3.36,0.12,135,26.7,3.96,111,5.21,660,16.3,30.5,3.52,11.6,1.85,0.44,1.19,0.14,0.65,0.11,0.32,0.05,0.4,0.07,3.45,0.35,2.39,1.1
Cu-rich PCDs,Wunugetushan Cu-Mo,70.46,0.39,14.86,2.44,0,0.34,1.35,4.73,3.65,0.03,113,95.6,4.45,138,5.4,720,19.1,36.6,4.18,14.3,2.25,0.56,1.43,0.17,0.8,0.14,0.4,0.06,0.47,0.09,4.28,0.38,3.38,1.36
Cu-rich PCDs,Wunugetushan Cu-Mo,70.09,0.41,14.7,2.07,0.01,0.52,1.58,4.98,3.63,0.03,96,143.2,5.94,122,4.52,730,15.8,31.6,3.57,13,2.34,0.61,1.82,0.26,1.27,0.22,0.55,0.08,0.53,0.09,3.45,0.29,2.85,1.73
Cu-rich PCDs,Wunugetushan Cu-Mo,68.96,0.21,15.03,2.19,0.04,0.4,1.97,3.97,3.38,0.08,97.6,428,5.91,115.9,5.65,680.9,15.14,30.08,3.5,13.22,2.1,0.57,1.62,0.2,1.08,0.2,0.55,0.08,0.53,0.09,3.09,0.37,3.33,0.9
Cu-rich PCDs,Wunugetushan Cu-Mo,69.43,0.23,14.96,2.19,0.04,0.44,2.28,3.71,3.19,0.09,91.44,298.1,5.73,139.4,5.26,498.8,15.87,30.25,3.51,12.77,2,0.56,1.55,0.2,0.98,0.19,0.52,0.08,0.54,0.09,3.57,0.35,3.12,1.31
Cu-rich PCDs,Wunugetushan Cu-Mo,68.83,0.22,15.19,2.13,0.05,0.44,2.28,3.87,3.32,0.08,81.8,369,4.07,116.7,4.81,498.8,11.12,24.6,2.95,11.07,1.83,0.52,1.32,0.17,0.9,0.16,0.48,0.07,0.47,0.08,3.08,0.31,1.79,0.86
Cu-rich PCDs,Wunugetushan Cu-Mo,69.72,0.23,15.31,2.03,0.04,0.37,1.77,4.06,4.02,0.09,107.8,361.5,5.56,128,5.36,753.7,14.68,28.22,3.2,11.48,1.76,0.56,1.39,0.18,0.94,0.19,0.52,0.08,0.54,0.09,3.43,0.34,3.06,0.97
Cu-rich PCDs,Wunugetushan Cu-Mo,69.91,0.21,15.01,1,0.04,0.38,2.64,3.13,4.59,0.09,124,297,6.7,110,4.2,836,21.2,40.6,4.25,15.1,2.38,0.63,1.7,0.23,1.18,0.23,0.65,0.1,0.66,0.1,3.2,0.3,3.76,1.34
Cu-rich PCDs,Wunugetushan Cu-Mo,68.98,0.21,14.66,1.02,0.04,0.45,2.85,3.16,4.22,0.08,108,380,5.7,110,3.9,709,14.4,28,2.89,10.6,1.74,0.51,1.36,0.2,1.02,0.19,0.54,0.08,0.52,0.08,3.2,0.3,3.16,1.13
Cu-rich PCDs,Wunugetushan Cu-Mo,76.65,0.18,11.15,0.85,0.03,0.49,0.67,1.13,5.69,0.07,100,112,17.3,30.6,7,510,19.7,37.9,4,14.3,2.6,0.5,2.5,0.4,2.5,0.6,1.7,0.3,2,0.3,1.1,0.7,11,2.5
Cu-rich PCDs,Wunugetushan Cu-Mo,70.5,0.37,16.1,1.13,0.01,0.33,0.49,4.49,2.89,0.05,65.2,289,3.3,38.3,2.7,770,13.5,26.5,2.8,10.9,2,0.6,1.2,0.2,0.8,0.1,0.4,0.1,0.3,0.1,1.4,0.2,3,0.9
Cu-rich PCDs,Wunugetushan Cu-Mo,67.6,0.21,14.55,2.09,0.05,0.49,1.62,2.97,5.43,0.09,102.5,403,6.6,27.8,2.5,780,21.4,41.8,4.3,16.1,2.4,0.6,1.6,0.2,1,0.2,0.6,0.1,0.5,0.1,1.1,0.2,4,0.8
Cu-rich PCDs,El Abra Cu-Mo,69.73,0.33,16.25,2.26,0.03,0.97,2.63,4.39,3.29,0.14,59,630,6.2,112,6.4,889,21.5,40.3,4.2,15.5,2.76,0.683,1.74,0.24,1.12,0.22,0.61,0.097,0.66,0.11,3,0.62,6.09,2.11
Cu-rich PCDs,El Abra Cu-Mo,69.26,0.35,16.35,2.28,0.04,0.92,3,4.68,2.98,0.15,65,779,5.5,107,6.5,896,21.1,38.9,4.13,15.8,2.69,0.672,1.6,0.22,1.12,0.21,0.58,0.096,0.61,0.09,2.9,0.67,6.67,2.51
Cu-rich PCDs,El Abra Cu-Mo,68.22,0.34,16.89,2.56,0.04,0.77,3.46,4.83,2.76,0.13,65,724,6.2,112,6.2,860,19.1,36.2,3.91,15.2,2.58,0.674,1.81,0.24,1.19,0.22,0.67,0.106,0.69,0.1,2.8,0.62,5.29,2.03
Cu-rich PCDs,El Abra Cu-Mo,68.3,0.33,16.99,2.5,0.04,0.8,3.28,4.72,2.85,0.14,68,724,6.5,113,6.2,858,24.4,44.2,4.59,16.4,2.58,0.7,2.1,0.24,1.24,0.24,0.68,0.108,0.67,0.11,2.8,0.63,6.66,2.54
Cu-rich PCDs,El Abra Cu-Mo,67.62,0.37,16.75,2.94,0.03,0.92,3.77,4.79,2.63,0.16,69,783,5.8,103,5.3,833,21.2,39,4.09,15.2,2.56,0.682,1.73,0.22,1.15,0.22,0.63,0.092,0.65,0.09,2.6,0.59,5.57,2.55
Cu-rich PCDs,El Abra Cu-Mo,68.02,0.36,16.81,2.72,0.04,0.8,3.73,4.75,2.62,0.15,51,777,6,115,6.2,864,20.2,38.7,4.18,15.4,2.77,0.704,1.7,0.23,1.16,0.21,0.62,0.097,0.64,0.1,3,0.62,5.77,1.82
Cu-rich PCDs,El Abra Cu-Mo,67.37,0.41,17.22,0.98,0.01,1.04,3.83,4.82,4.15,0.19,90,754,7.7,124,6.7,828,20,37,4.11,15.9,2.81,0.803,2.09,0.28,1.47,0.27,0.8,0.123,0.8,0.13,3.1,0.56,5.74,1.92
Cu-rich PCDs,El Abra Cu-Mo,67.32,0.39,16.99,2.68,0.03,1.02,3.7,4.93,2.78,0.16,89,769,6.4,109,6,835,19.2,35.8,3.98,15.1,2.66,0.753,1.9,0.24,1.19,0.22,0.63,0.093,0.64,0.1,2.8,0.57,6.53,2.36
Cu-rich PCDs,El Abra Cu-Mo,66.45,0.44,17.08,3.28,0.04,1.16,4.06,4.71,2.61,0.18,66,823,7.1,116,5.9,855,16.7,33.4,3.82,14.8,2.88,0.799,1.89,0.27,1.36,0.25,0.77,0.115,0.73,0.12,3,0.57,5.97,2.51
Cu-rich PCDs,El Abra Cu-Mo,63.33,0.64,17.83,4.37,0.05,2.19,4.51,5.01,1.81,0.28,61,902,8.9,124,6.6,573,19.9,38.7,4.41,17.8,3.62,0.885,2.42,0.35,1.76,0.33,0.9,0.134,0.88,0.14,3.1,0.53,4.57,2.12
Cu-rich PCDs,El Abra Cu-Mo,64.83,0.54,18.2,3.9,0.03,1.6,4.04,4.78,1.84,0.23,54,829,7.8,112,5.1,707,18.5,37,4.21,17.2,3.16,0.881,2.22,0.31,1.58,0.3,0.85,0.123,0.77,0.12,2.9,0.48,4.58,1.71
Cu-rich PCDs,El Abra Cu-Mo,69.68,0.29,16.28,2.12,0.02,0.68,2.99,4.67,3.21,0.11,56,658,6.1,112,6.7,920,21.3,40.1,4.35,15.4,2.56,0.683,1.78,0.24,1.14,0.21,0.62,0.104,0.7,0.11,2.8,0.74,7.44,2.46
Cu-rich PCDs,El Abra Cu-Mo,69.86,0.29,16.07,2.19,0.03,0.72,3.1,4.5,3.07,0.13,71,643,5.3,103,5.9,846,18.7,34.5,3.63,13.5,2.38,0.646,1.6,0.21,1.05,0.2,0.6,0.095,0.63,0.11,2.8,0.66,6.68,2.82
Cu-rich PCDs,El Abra Cu-Mo,70.53,0.29,15.66,1.64,0.02,0.57,2.81,4.3,4.06,0.1,71,604,5,100,5.3,868,17.2,33.2,3.59,13.9,2.4,0.644,1.53,0.21,1.11,0.21,0.61,0.095,0.63,0.11,2.6,0.54,5.49,1.86
Cu-rich PCDs,El Abra Cu-Mo,71.47,0.26,15.04,1.54,0.01,0.61,2.74,3.89,4.34,0.09,60,640,5.7,94,6.1,910,14,26.9,3.05,11.5,2,0.551,1.43,0.19,0.92,0.18,0.5,0.076,0.52,0.1,2.5,0.69,6.81,2.04
Cu-rich PCDs,El Abra Cu-Mo,70.25,0.28,16.03,1.97,0.01,0.68,2.93,4.66,3.1,0.1,66,636,5.2,96,5.9,812,19.3,35.9,3.8,13.7,2.27,0.632,1.61,0.21,1.04,0.2,0.58,0.092,0.62,0.1,2.7,0.73,7.67,2.4
Cu-rich PCDs,Jebel Ohier Cu-Au,56.4,0.61,17.45,5.68,0.09,5.17,6.18,4.29,0.81,0.18,11.8,778,6.8,70,2.5,393,9.1,21.1,2.41,10.9,2.56,0.82,1.9,0.25,1.56,0.28,0.71,0.11,0.65,0.08,1.9,0.3,0.98,0.38
Cu-rich PCDs,Jebel Ohier Cu-Au,67,0.39,16.95,2.94,0.04,1.37,1.35,5.19,2.1,0.14,38.1,654,6.5,91,1,611,11.1,21,2.7,10.4,2.34,0.67,1.89,0.23,1.29,0.24,0.59,0.11,0.55,0.08,2.7,0.2,2.38,1.3
Cu-rich PCDs,Jebel Ohier Cu-Au,69.5,0.45,17.95,1.78,0.01,0.23,0.24,0.95,4.02,0.2,70.3,544,4.4,101,1.5,760,3.2,7.1,1.11,5.5,1.56,0.51,1.4,0.17,0.89,0.17,0.54,0.09,0.55,0.07,3,0.2,0.85,0.39
Cu-rich PCDs,Jebel Ohier Cu-Au,66.5,0.46,17.15,3.88,0.06,1.62,4,4.79,2.25,0.14,38.9,848,6.4,107,2.7,669,10.7,23.5,2.55,11.5,2.4,0.71,1.71,0.25,1.22,0.23,0.72,0.1,0.63,0.09,2.7,0.4,1.73,1.06
Cu-rich PCDs,Jebel Ohier Cu-Au,54.3,1.46,17.5,8.52,0.13,2.87,7.12,4.04,1.56,0.48,32.8,642,28.7,228,5.9,549,19.4,46.6,5.91,27.5,6.84,1.76,6.13,0.93,5.72,1.17,3.31,0.46,3.31,0.43,5.8,1.6,2.71,1.05
Cu-rich PCDs,Jebel Ohier Cu-Au,53.4,1.71,17.35,9.27,0.14,4,7.25,3.75,1.79,0.54,34,590,29,233,5.7,693,18.8,44.7,5.85,26.3,6.66,1.79,6.18,0.92,5.82,1.14,3.22,0.47,3.5,0.45,5.7,0.2,2.62,1.03
Cu-rich PCDs,Jebel Ohier Cu-Au,51.2,1.43,16.6,9.49,0.15,4.98,7.58,3.24,1.48,0.43,29.9,591,25.5,195,5.1,461,16.7,39.1,5.07,23.6,5.78,1.56,5.52,0.86,5.26,1.03,3.05,0.41,3.12,0.42,5,0.3,2.17,0.93
Cu-rich PCDs,Jebel Ohier Cu-Au,56.2,0.96,15.7,8.12,0.14,4.82,6.62,3.42,1.84,0.22,31.6,387,18.8,111,5.4,358,13.5,31.6,3.75,17.1,4.16,1.18,3.89,0.56,3.61,0.71,2.14,0.28,2.21,0.29,3.1,0.4,2.53,0.96
Cu-rich PCDs,Jebel Ohier Cu-Au,57.2,1.23,16.85,8.13,0.12,3.69,6.55,3.69,1.91,0.39,43.1,608,21.5,210,4.9,577,17.9,41.5,4.93,22.7,5.53,1.45,4.75,0.7,4.31,0.82,2.48,0.34,2.51,0.34,5.3,0.3,3.38,1.42
Cu-rich PCDs,Jebel Ohier Cu-Au,66,0.39,16.2,3.24,0.05,1.3,3.51,4.77,2.16,0.15,41.4,977,5,95,1.8,737,9.8,21.4,2.4,10.3,2,0.65,1.51,0.21,1.07,0.18,0.49,0.08,0.51,0.08,2.6,0.3,1.82,1.01
Cu-rich PCDs,Jebel Ohier Cu-Au,54.4,1.56,17.25,9.3,0.16,4.3,7,3.8,2.11,0.53,39.6,653,27.2,239,6.2,609,22.2,52.3,6.57,29.5,6.89,1.83,6.07,0.94,5.68,1.09,3.09,0.45,2.93,0.43,5.9,0.4,3.19,1.3
Cu-rich PCDs,Jebel Ohier Cu-Au,65.6,0.43,16.5,3.71,0.05,1.52,3.5,4.69,2.07,0.15,36.2,889,5.9,98,1,646,10.3,20,2.58,10.3,2.14,0.67,1.69,0.21,1.2,0.22,0.61,0.1,0.48,0.07,2.8,0.2,1.91,1.16
Cu-rich PCDs,Jebel Ohier Cu-Au,72.9,0.32,16.4,1.52,0.02,0.58,0.13,0.15,4.86,0.01,91.9,56.8,7.4,150,2.8,737,5.5,10.3,1.18,4.1,0.87,0.21,0.75,0.15,1.2,0.27,0.84,0.16,1.13,0.18,3.8,0.4,1.69,0.68
Cu-rich PCDs,Jebel Ohier Cu-Au,64.2,0.37,17.5,5.98,0.07,1.51,1.09,2.2,3.21,0.1,59.3,278,7.3,98,2.4,410,7.6,17,2.26,10.2,2.65,0.66,1.88,0.28,1.37,0.26,0.87,0.11,0.66,0.1,2.7,0.1,0.66,0.27
Cu-rich PCDs,Jebel Ohier Cu-Au,55,0.88,16.75,8.03,0.12,5,6.99,3.84,0.95,0.23,19.7,615,18.8,115,2.7,400,11.9,25.8,3.37,14.9,3.42,1.16,3.37,0.54,3.34,0.66,1.87,0.25,1.81,0.3,2.9,0.2,1.23,0.58
Cu-rich PCDs,Highland Valley Cu-Mo distrct,65.7,0.4,16.8,3.8,0.1,1.3,4.4,4.7,1.8,0.2,30.2,705.1,7,83,1.8,787,8.3,18.4,2.2,10.4,1.8,0.6,1.7,0.2,1.2,0.2,0.7,0.1,0.7,0.1,2.6,0.1,1.7,0.6
Cu-rich PCDs,Highland Valley Cu-Mo distrct,65.82,0.37,16.97,3.53,0.04,1.28,4.63,4.76,1.75,0.15,29.4,750.1,7.1,85.9,1.7,743,9.5,18.8,2.5,10.8,1.81,0.54,1.57,0.21,1.25,0.24,0.78,0.11,0.74,0.09,2.2,0.1,2.2,1.4
Cu-rich PCDs,Highland Valley Cu-Mo distrct,66.05,0.33,16.97,3.32,0.04,1.12,4.23,4.74,1.51,0.14,17.9,710.4,6.2,70.3,1.5,722,9.4,18.7,2.28,8.9,1.38,0.51,1.42,0.19,1.02,0.22,0.65,0.09,0.68,0.11,1.9,0.1,1.8,0.8
Cu-rich PCDs,Highland Valley Cu-Mo distrct,65.72,0.36,17.34,3.4,0.07,1.17,4.63,4.89,1.57,0.15,25.3,810.6,6.5,62.9,1.3,805,9.1,17.8,2.27,8.6,1.66,0.54,1.6,0.21,1.13,0.22,0.56,0.1,0.58,0.1,2.3,0.1,1.1,0.6
Cu-rich PCDs,Highland Valley Cu-Mo distrct,66,0.4,17.1,3.5,0.1,1.2,4.5,4.9,1.7,0.1,31.9,682.4,6.6,76.1,1.9,797,9.7,19.1,2.4,9.6,1.8,0.7,1.7,0.2,1.2,0.2,0.7,0.1,0.7,0.1,2.5,0.1,1.4,0.9
Cu-rich PCDs,Highland Valley Cu-Mo distrct,67.7,0.3,16.2,3.1,0.1,0.9,3.7,4.8,1.8,0.1,24.3,586.8,5.6,67.6,2,859,8.9,18.1,2.3,9.5,1.7,0.5,1.5,0.2,1.1,0.2,0.6,0.1,0.6,0.1,1.9,0.1,1.5,0.9
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.4,0.3,16.3,2.9,0.1,0.8,3.7,4.8,1.9,0.1,33.2,588.5,4.4,64,1.7,894,8.9,16,1.9,7.2,1.3,0.5,1.3,0.2,0.8,0.2,0.5,0.1,0.5,0.1,1.9,0.1,1.5,1
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.1,0.3,16.1,3,0.1,0.9,3.7,4.8,1.8,0.1,29.6,571.4,4.9,66.2,1.9,924,9,17.4,2,8.7,1.5,0.5,1.5,0.2,1,0.2,0.5,0.1,0.6,0.1,1.9,0.1,1.6,0.8
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.7,0.3,16,3,0.1,0.9,3.5,4.7,1.9,0.1,34.7,578.6,6.8,66.8,2.2,1025,9.4,21.4,2.8,11.6,2.1,0.6,1.9,0.2,1.4,0.3,0.6,0.1,0.8,0.1,2,0.2,1.4,0.6
Cu-rich PCDs,Highland Valley Cu-Mo distrct,67.9,0.3,16.5,3.1,0.1,0.9,4,4.8,1.9,0.1,32.9,611.8,6.1,67.4,1.8,828,9.7,18.7,2.2,9.2,1.6,0.6,1.6,0.2,1.3,0.2,0.6,0.1,0.6,0.1,2.2,0.1,1.6,1
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.3,0.3,16.2,2.9,0.1,0.9,3.6,4.8,1.9,0.1,31.6,625.8,5.3,58.2,1.9,902,9.5,18.1,2.1,8.1,1.3,0.5,1.3,0.2,0.9,0.2,0.7,0.1,0.6,0.1,2,0.2,2.2,1.2
Cu-rich PCDs,Highland Valley Cu-Mo distrct,67.6,0.3,16.4,3,0.1,0.9,3.8,4.7,1.9,0.1,32.9,708.5,6.1,78.6,1.8,860,9.1,18.8,2.2,10.1,1.3,0.5,1.4,0.2,0.8,0.2,0.5,0.1,0.7,0.1,2.3,0.2,1.5,0.9
Cu-rich PCDs,Highland Valley Cu-Mo distrct,68.2,0.3,16.3,2.9,0.1,0.7,3.5,4.6,1.9,0.1,40.5,711.8,7.2,98.8,2.3,935,11.3,21.9,2.5,9.1,1.7,0.5,1.4,0.2,1.1,0.2,0.8,0.1,0.7,0.1,2.9,0.2,3.4,1.1
Cu-rich PCDs,Highland Valley Cu-Mo distrct,67.1,0.3,16.7,3.1,0.1,1,4.1,4.7,1.4,0.1,21.8,797.5,6.7,67,1.2,967,9.2,19.7,2.2,11.7,1.9,0.5,1.4,0.2,0.9,0.2,0.6,0.1,0.5,0.1,2.4,0.2,0.8,0.6
Cu-rich PCDs,Highland Valley Cu-Mo distrct,66.5,0.3,16.2,3,0.1,0.9,3.3,4.6,2.1,0.2,35.7,689.6,5.8,73.8,1.6,941,9.1,18.8,2.1,8.8,1.3,0.5,1.4,0.2,1,0.2,0.6,0.1,0.6,0.1,1.4,0.1,1.6,1.4
